,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
0,"RT @MitchellAbbys: @crytosapien @Thomahawx @Young_Light317 #VOLT #VOLTICHANGE #VDSC #VOLTARMY #VOLTOSHI #Hollywood #Netflix #Yahoofilms 
#T…",       light317  volt  voltichange  vdsc  voltarmy  voltoshi  hollywood  netflix  yahoofilms   t ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
1,"RT @MqUkc: ✅ กดรีทวิต  กดติดตาม หัวใจ ❤️
คอมเม้น  
@LucaBet_123Plus

 อยากได้กดเลยงับ
       👇👇👇
https://t.co/PCcZHT4Qpx

#เครดิตฟรี #เครดิ…",                                           123plus                                                   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
2,"RT @Tesla: 40 Megapack units balance the grid in Lessines, Belgium—making it the biggest operational energy storage system in continental E…", 40 megapack units balance the grid in lessines  belgium making it the biggest operational energy storage system in continental e ,0.0,0.0,positive,0.0,0.896,0.104,0.2732
3,@CryptoXMad This is amazing! Look at https://t.co/YIUbrliT8h,  this is amazing  look at  ,0.6000000000000001,0.9,positive,0.0,0.513,0.487,0.5859
4,"RT @NowTui: ✅ กดรีทวิต  กดติดตาม หัวใจ ❤️
คอมเม้น  
@LucaBet_123Plus

 อยากได้กดเลยงับ
       👇👇👇
https://t.co/LlHqhHCOiK

#เครดิตฟรี #เคร…",                                           123plus                                                 ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
5,RT @MohammedOvii: @udiWertheimer Holiday giveaway has started https://t.co/6eklISsiJ5,   holiday giveaway has started  ,0.0,0.0,positive,0.0,0.526,0.474,0.4019
8,"What a joke.
And whats more funny: the average $tsla investor has no idea of what real testing looks like and buys… https://t.co/84YBmKJUli",what a joke  and whats more funny  the average  tsla investor has no idea of what real testing looks like and buys   ,0.2,0.55,positive,0.081,0.627,0.291,0.6901
10,RT @Valkyrae: currently being hacked on YouTube and they changed my username to Tesla and proceeded to play a Tesla video on livestream lol…, currently being hacked on youtube and they changed my username to tesla and proceeded to play a tesla video on livestream lol ,0.4,0.55,positive,0.104,0.695,0.201,0.3612
11,Tesla stock down 51% this year. @elonmusk left a money making venture to concentrate on a money losing one all in t… https://t.co/BcRP5mDtxE,tesla stock down 51  this year    left a money making venture to concentrate on a money losing one all in t   ,-0.07777777777777779,0.14444444444444446,negative,0.133,0.867,0.0,-0.3818
12,"Tesla Sales of Chinese-Made Cars Hit Record, as Nation's Auto Market Shrinks.China’s overall November car sales slu… https://t.co/BcDGu93xH1",tesla sales of chinese made cars hit record  as nation s auto market shrinks china s overall november car sales slu   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
13,RT @kwanda_molefe: @coinmamba @HestTrades @3commas_io #EVENT https://t.co/w5BOmgNxv3,       io  event  ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
15,@bburnworth @FonsDK US markets will trend towards Norwegian EV market share when more affordable models enter the m… https://t.co/nrOtcHO12o,    us markets will trend towards norwegian ev market share when more affordable models enter the m   ,0.25,0.25,positive,0.0,0.864,0.136,0.296
17,@TeeTee_tesla @PF_512_S_Modulo 那須塩原にお越しの際は塩原の家で充電して他の人私の車でも良いですがスキー場に行く事も出来ますよ♪,  tesla   512 s modulo                                                 ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
18,@HerzlKarim across ALL tokeneized stocks. your tesla twitter what have you.. it's still so LOW... the amount of biz… https://t.co/n6oV3oxsW6,  across all tokeneized stocks  your tesla twitter what have you   it s still so low    the amount of biz   ,0.0,0.3,negative,0.139,0.861,0.0,-0.4101
19,"idiocracy23: Grandma got run over by... (Chumbawamba) https://t.co/VGa2QU4yZV 
#comedy #jokes #ThirdParty #peace… https://t.co/q6hTNCLcAW",idiocracy23  grandma got run over by     chumbawamba      comedy  jokes  thirdparty  peace   ,0.0,0.0,positive,0.0,0.5,0.5,0.7906
20,"RT @La0zzDotEth: Sweet weekend morny ArtFam 🎨😘

Tesla Model S CyberPlaid

The future is just around the corner. Fantasy on what the next ge…", sweet weekend morny artfam     tesla model s cyberplaid  the future is just around the corner  fantasy on what the next ge ,0.11666666666666665,0.25833333333333336,positive,0.0,0.864,0.136,0.4588
22,"@UrsichJr @brandenflasch Personal opinion, assuming that car is pretty clean as sold by Tesla, $25k is a great pric… https://t.co/h5SWz6uK46",    personal opinion  assuming that car is pretty clean as sold by tesla   25k is a great pric   ,0.3541666666666667,0.6875,positive,0.0,0.565,0.435,0.875
23,"@josevico4 Otro tonto mas con el triangulito rojo. Si es que lo ponéis muy fácil, es ver la basura roja esa, y todo… https://t.co/CIQ2Dgspzu",  otro tonto mas con el triangulito rojo  si es que lo pon is muy f cil  es ver la basura roja esa  y todo   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
24,"今日はTeslaで関西出張
①大阪市城東区O様
ハリアーPHEV用コンセント工事
本宅から市道を挟んでカーポートの柱に取付
②芦屋市Y様
TeslaM3RWDモバイルコネクター用コンセント工事
③生駒市N様
エアコン外し… https://t.co/XwuqityJs8",   tesla             o      phev                                  y  teslam3rwd                      n           ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
25,"Netflix, Amazon, Tesla… Derrière les modèles d’abonnements et de location, les déboires des clients… https://t.co/ZeiqYiVb6Z",netflix  amazon  tesla  derri re les mod les d abonnements et de location  les d boires des clients   ,0.2,0.4,positive,0.0,0.898,0.102,0.1779
26,"RT @Forbes: Tesla’s New Semi-Truck Will Be Great, If You Get Your Electricity Wisely https://t.co/yRUgPzV2oN https://t.co/x2wdsGascD", tesla s new semi truck will be great  if you get your electricity wisely    ,0.5454545454545454,0.7015151515151515,positive,0.0,0.615,0.385,0.7845
27,"2차 시험 결과

충격센서 only 모드

13시간30분
2%감소(0.15%/h)

19시간30분 3%감소(0.15%/h)

카메라가 쉬어서인지 배터리 사용량이 현저히 감소했네요

#테슬라
#센트리모드
#Tesla
#Sentrymode",2              only     13  30  2    0 15  h   19  30  3    0 15  h                                               tesla  sentrymode,0.0,1.0,neutral,0.0,1.0,0.0,0.0
28,@farzyness The value of Tesla stock is going down 😂,  the value of tesla stock is going down  ,-0.15555555555555559,0.2888888888888889,positive,0.0,0.745,0.255,0.34
29,"If @Tesla could allow people to plan their trips in the app, calculate how much battery they need, etc, that would be great !",if   could allow people to plan their trips in the app  calculate how much battery they need  etc  that would be great  ,0.5,0.475,positive,0.0,0.769,0.231,0.7184
30,RT @stockgro: Indian billionaire #Adani has become the 2nd richest person in the world according to #Forbes Real Time Billionaires List. 💰…, indian billionaire  adani has become the 2nd richest person in the world according to  forbes real time billionaires list    ,0.1,0.15000000000000002,positive,0.0,0.841,0.159,0.5267
32,@johnholland @annecollier @eirliani @podesta_lesley @elonmusk @Tesla Ukrainian flag. Opinion discarded. Starlink offline.,        lesley     ukrainian flag  opinion discarded  starlink offline ,0.0,0.0,negative,0.438,0.562,0.0,-0.4404
33,"One of my Fans is enjoying my Content! You should, too! Young Tesla &amp; The **** Friend Suck &amp; Fuck https://t.co/Vs3eOUlgwg",one of my fans is enjoying my content  you should  too  young tesla  amp  the      friend suck  amp  fuck  ,0.06666666666666665,0.5333333333333333,positive,0.229,0.536,0.236,0.0516
34,U FER-u je u sklopu Inovacijskog centra Nikola Tesla pokrenut prvi hrvatski deep-tech venture builder Nuqleus. Vodi… https://t.co/2Y4YLE9PSn,u fer u je u sklopu inovacijskog centra nikola tesla pokrenut prvi hrvatski deep tech venture builder nuqleus  vodi   ,0.0,0.4,neutral,0.0,1.0,0.0,0.0
35,"Run Tesla to drive transportation into the future? Nah.

Be hands on SpaceX that will take people to other planets?… https://t.co/5uK61bfNGc",run tesla to drive transportation into the future  nah   be hands on spacex that will take people to other planets    ,-0.0625,0.25,negative,0.069,0.931,0.0,-0.1027
36,"@ev_tesla_sc もともと目をつけてたんですが、テッさんさんのつぶやきを見て、どのくらい改善するか調べたりして購入を決意しました～。

その代わり、セーターやブランケットは我慢ですｗ",  tesla sc                                                                                   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
37,RT @john50972: @Tesla Serious question: what will we do with the used batteries? Who will build the batteries? What is the carbon footprint…,   serious question  what will we do with the used batteries  who will build the batteries  what is the carbon footprint ,-0.3333333333333333,0.6666666666666666,negative,0.064,0.936,0.0,-0.0772
38,"@TheRealHoarse Tesla better gets rid of its CEO, else, I suspect that thousands of potential buyers like we will ne… https://t.co/X4vH7kr8dH",  tesla better gets rid of its ceo  else  i suspect that thousands of potential buyers like we will ne   ,0.25,0.75,positive,0.097,0.664,0.239,0.4939
39,"@JudeWTH @johncardillo @elonmusk Could it be that he was
Delivering a semi
Taking on a new company
Shooting off roc… https://t.co/Xv7QsBd6uf",      could it be that he was delivering a semi taking on a new company shooting off roc   ,0.13636363636363635,0.45454545454545453,neutral,0.0,1.0,0.0,0.0
40,"#ThePlug #Anal #TESLA Boulot de merde , Dangeureux c'est quoi la norme chez ? 
@Zeplug_VE #ZEplug : foutage de gueu… https://t.co/hYbATcUmQx", theplug  anal  tesla boulot de merde   dangeureux c est quoi la norme chez      ve  zeplug   foutage de gueu   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
42,"RT @UUUPPP11: เช้านี้ตื่นมาเจอการเปิดราคา #Tesla model 3 ในไทย ราคาไม่โหดร้ายมาก ตกล้านปลายๆ ถึงสองล้านต้นๆ

ระหว่างทางขับรถไปสภา เจอ model…",                              tesla model 3                                                                              model ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
43,Global automakers aside from Tesla have been losing sales and market share to China’s domestic brands.,global automakers aside from tesla have been losing sales and market share to china s domestic brands ,0.0,0.05,negative,0.138,0.745,0.117,-0.1027
44,The Tesla Model S Plaid continues to collect lap records https://t.co/zA5C242j08 https://t.co/U0Gv7hBGnp,the tesla model s plaid continues to collect lap records    ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
