,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
0,"RT @WayneDupreeShow: Sorry it’s -40 degrees outside, but you can’t use the heater in your $60k electric truck…🥴

https://t.co/vfg9U6FRN7", sorry it s  40 degrees outside  but you can t use the heater in your  60k electric truck     ,-0.25,0.525,negative,0.071,0.929,0.0,-0.0387
1,"RT @Blazespage: So, most of you know we're 100% off grid here at Ace Target Sports. Today, as promised by @Power_2Go , an Ecoflow Delta Pro…", so  most of you know we re 100  off grid here at ace target sports  today  as promised by   2go   an ecoflow delta pro ,0.5,0.5,positive,0.0,0.902,0.098,0.3612
2,"RT @NIOAdmirer: Germany's EnBW, which invests more than 100 million euros ($105.26 million) a year in electric car charging infrastructure…", germany s enbw  which invests more than 100 million euros   105 26 million  a year in electric car charging infrastructure ,0.5,0.5,neutral,0.0,1.0,0.0,0.0
4,@uneed2calmdown @elonmusk @SenatorSinema oh you hate the electric car man now that he's not backing democrats anymo… https://t.co/wRTrYF3oMo,      oh you hate the electric car man now that he s not backing democrats anymo   ,-0.8,0.9,negative,0.285,0.715,0.0,-0.5823
5,"1st Commercially Available Electric, Autonomous Smart Tractor Goes Into Production https://t.co/NtMUXRib87 #EV #VE #MOBILITY #NewMobility",1st commercially available electric  autonomous smart tractor goes into production    ev  ve  mobility  newmobility,0.33809523809523806,0.580952380952381,positive,0.0,0.828,0.172,0.4019
6,The cold already takes half the battery life. Heat costs a lot of power as well probably brings it down to 25%. Rid… https://t.co/9cVgsVIFPg,the cold already takes half the battery life  heat costs a lot of power as well probably brings it down to 25   rid   ,-0.3074074074074074,0.4851851851851852,positive,0.0,0.909,0.091,0.2732
7,@elonmusk @Cernovich @annecollier @eirliani @podesta_lesley Is Tesla gonna design an electric Clown car soon?,          lesley is tesla gonna design an electric clown car soon ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
8,"RT @kos_data: Thursday in Balkans:

🇽🇰 increase police forces in Serb-dominated North
🇷🇸 USA electric car company opens center in Belgrade…", thursday in balkans      increase police forces in serb dominated north    usa electric car company opens center in belgrade ,-0.1,0.1,positive,0.0,0.881,0.119,0.3182
9,"RT @TheFestiveOwl: GIVEAWAY — @Electric_Forest reveals 2023 lineup: @ODESZA, @ILLENIUM, @officialRezz + more.

ENTER NOW for your chance to…", giveaway     forest reveals 2023 lineup            more   enter now for your chance to ,0.5,0.5,positive,0.0,0.846,0.154,0.25
12,"RT @Uh_ohhhhhhh: #原神 ＃空荧 ＃aelumi 
""It's ugly for a man to sit in the back of a girl's electric car.""😳😳 https://t.co/pOQVr4vVFv",          aelumi   it s ugly for a man to sit in the back of a girl s electric car      ,-0.35,0.5,negative,0.202,0.798,0.0,-0.5106
