tweet,date,id,location,id_user,score
https://t.co/SHqdpbP3PY : ffdfb166-c9e9-46c2-a38c-3eb95c34576d,2022-12-06 23:59:59+00:00,1600278915435601927,"Alsace, France",2669983818,"{'neg': 0.179, 'neu': 0.821, 'pos': 0.0, 'compound': -0.5423}"
"RT @FDRLST: Why Elon Musk’s ‘Twitter Files’ Matter

https://t.co/ADG5yPyVKZ",2022-12-06 23:59:59+00:00,1600278912676032512,,1597982202800873473,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"RT @mtaibbi: @bariweiss The news that Baker was reviewing the “Twitter files” surprised everyone involved, to say the least. New Twitter ch…",2022-12-06 23:59:58+00:00,1600278910474027008,"柏/Kashiwa, Japan",18410208,"{'neg': 0.0, 'neu': 0.879, 'pos': 0.121, 'compound': 0.0258}"
"RT @JackPosobiec: BREAKING: Elon Musk slams Wikipedia over 'left-wing bias' after editors attempt to delete Twitter Files entry

https://t.…",2022-12-06 23:59:58+00:00,1600278908825260033,GOODBYE IL- HELLO Knoxville TN,1382804248019226630,"{'neg': 0.0, 'neu': 0.917, 'pos': 0.083, 'compound': 0.2263}"
"@AlanVRK @TheBigFoxx @lrozen @lorakolodny The second, fake allegations to distract from or deter allegations made a… https://t.co/9Tn5412Xd5",2022-12-06 23:59:57+00:00,1600278906329710593,San Francisco,1345945975,"{'neg': 0.072, 'neu': 0.928, 'pos': 0.0, 'compound': -0.1027}"
"RT @CollinRugg: BREAKING: The US Government has launched an investigation into Elon Musk's Neuralink.

Elon caught the Elites with their pa…",2022-12-06 23:59:57+00:00,1600278904559742976,United States,1594522170289430535,"{'neg': 0.261, 'neu': 0.739, 'pos': 0.0, 'compound': -0.6486}"
RT @WatcherGuru: JUST IN: Elon Musk fires Twitter's Deputy General Council and former FBI agent Jim Baker over information suppression.,2022-12-06 23:59:57+00:00,1600278904429846533,,1459537502964961283,"{'neg': 0.0, 'neu': 0.93, 'pos': 0.07, 'compound': 0.128}"
"RT @MailOnline: Elon Musk's Neuralink 'faces USDA investigation after deaths of 1,500 animals in testing' https://t.co/JJziotsKjI",2022-12-06 23:59:57+00:00,1600278903590858752,,2980261175,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"RT @CollinRugg: JUST IN: Elon Musk just fired Twitter’s Deputy General Counsel Jim Baker for suppressing information.

Elon is making Twitt…",2022-12-06 23:59:56+00:00,1600278902278004737,EVERYWHERE ,55995346,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"RT @JamesBradleyCA: Elon Musk provides PROOF that the Democrats interfered with the 2020 election and like magic, the MSM are SUDDENLY all…",2022-12-06 23:59:56+00:00,1600278900604796929,"Toronto, Ontario, Canada",34507278,"{'neg': 0.153, 'neu': 0.847, 'pos': 0.0, 'compound': -0.5574}"
"En basit şu olayları karşılaştırın:

-Elon Musk,sosyal ağda sansür kullanıldığını doğrulayan belgeler yayınladı
Çoğ… https://t.co/T8MoOnbW4Y",2022-12-06 23:59:56+00:00,1600278900193759233,,1157725736352002048,"{'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.3612}"
